Var1,Freq,is_na
overseas,2,F
Paid by other acc,1,F
paid other acc,1,F
Paris,2,F
pernambuco,1,F
Pernambuco,2,F
Portugal,1,F
Prague,1,F
resigned,3,T
resigned ill ,1,T
retired,7,T
Retired,1,T
retired ill,1,T
Rio,9,F
Roumania,1,F
Russia,3,F
Russia?,1,F
Safrica,2,F
San Salvador,1,F
Shanghai,1,F
Spain,2,F
StPetersburg,2,F
Switzerland,1,F
temp,2,T
Temp list,1,T
temp staff,1,T
to ?,8,F
to ?ley,1,F
to Baires,1,F
to Barna,1,F
to Bilbao,1,F
to Gothenburg,1,F
to Helsingboro?,1,F
to Information,1,F
to J&P coats,1,F
to Paris?,1,F
to Permambuco?,1,F
to Pernambuco,1,F
to PortAlegre,1,F
to Pressburg,1,F
to Rio,1,F
To travellers list,1,F
to?,3,F
traveller,1,F
Valpariso,1,F
Vienna,4,F
