"","year","int","int.se","slope","slope.se","rsq","n","lambda","corrected.slope"
"1",1901,26.4851196912481,2.90024619306806,11.2845807063364,1.8940383301669,0.691462578407866,32,1.24054316197866,13.999009431042
"2",1902,21.989047067731,2.13579280175526,9.28588647112548,0.815484524306553,0.725534829116287,42,1.20761996624066,11.2138219067751
"3",1903,23.8410693010967,2.09451549570627,7.29605378206857,0.489372779370624,0.693832234104413,50,1.14206192740346,8.3325452447885
"4",1904,20.9874515628421,3.37047759992564,7.42368724931348,0.463987825444309,0.699606146009722,53,1.12403240324032,8.34446501975038
"5",1905,25.8490639185128,3.18451059242281,4.79114940726919,0.381003945879158,0.48103384495381,67,1.09654600235798,5.25371572924082
"6",1906,26.8988546645101,1.76848404003762,4.24755216055279,0.191695400726713,0.484845429319845,102,1.06431434243548,4.52073068471915
"7",1907,26.5376457280505,2.64310219131578,4.54550229662673,0.195578386249582,0.506335039644653,105,1.06315935591338,4.83259329398448
"8",1908,28.3606183660848,3.32973478965482,4.50433768126917,0.165098064176583,0.539253313884782,107,1.05672531583528,4.7598476588679
"9",1909,29.6031376508109,2.90330103518474,4.26271582970112,0.11025193804499,0.60191537539244,111,1.04216189338324,4.44244000003603
"10",1910,31.8314503316824,3.45503402513502,3.89243988702401,0.102886719409863,0.588427874581379,105,1.04062741829871,4.05057967051671
"11",1911,27.5478572514363,3.06911503576778,4.46229610249225,0.0961081813268493,0.665792687050763,106,1.02996494666616,4.59600856721206
"12",1912,23.7712123449396,2.81360550190443,4.89294245650876,0.0880102333714058,0.741161262099295,97,1.02965302899068,5.03803302102133
"13",1913,26.7735869128389,4.13769663990965,4.38943523793764,0.140383551616382,0.590951736988615,97,1.02829569487323,4.51363735809612
"14",1914,27.5308081377646,2.10547069946883,4.30333809772948,0.068747229303237,0.735243249127037,99,1.02253208418295,4.40030127401522
"15",1915,22.8528771925447,2.09462397422415,3.81732714739174,0.072696713064225,0.692519280314389,91,1.02567768392934,3.91534726733737
"16",1916,32.9621605758774,3.34900547438613,2.68598197793851,0.154341792695826,0.396995096967009,73,1.03903511377815,2.79082959005339
"17",1917,36.9137392549012,3.53453758637843,1.45583425644048,0.164027941882831,0.177195081133342,62,1.05443136351861,1.53507730007564
"18",1918,35.5786820658759,8.86713959214948,1.30602466366161,0.30964614448776,0.0941494451970965,55,1.05491254668491,1.37774180397657
"19",1919,35.0601338992994,0.859397326975958,3.13395106463747,0.0745841308008845,0.374441101581237,222,1.07728222140312,3.37614976468133
"20",1920,28.6907413494513,1.16315872357134,3.58737753334871,0.0700485263689215,0.437719664061606,238,1.06585224048922,3.82361438140039
"21",1921,24.3910387622113,1.66233535525126,5.59515631250537,0.0890234572248179,0.573987157748025,263,1.04964444988797,5.87292476967689
"22",1922,23.0136574449986,2.77083371564021,6.53436943146694,0.113345848262085,0.612822611341403,240,1.04446304823031,6.82490741465295
"23",1923,21.1061981724299,3.8805611156764,6.63602812760322,0.122719089515997,0.628619338012022,214,1.03820743092705,6.88957371391856
"24",1924,20.4248866376135,3.20060557248765,6.36498825976817,0.0920301921801561,0.672890435073908,216,1.02895391813099,6.5492796087462
"25",1925,18.1445022200665,3.61370077058029,6.33689474649715,0.112309965675813,0.672654382258626,176,1.02835270768358,6.51656287086622
"26",1926,18.626007700915,2.7747447349045,5.86238118452329,0.0934417462096836,0.677595346491078,177,1.02695667825052,6.02041150789636
"27",1927,20.3844075403547,3.42107452473617,5.64956725135436,0.114546534524116,0.642563266895918,157,1.02835234139497,5.80974571079863
"28",1928,24.3748965543662,5.05552225868519,4.71235881955828,0.202352501730647,0.475602063337786,123,1.03804670266981,4.89164853443947
"29",1929,22.6018421689292,3.45782374996148,5.30545118586763,0.13900289135702,0.599997670470938,137,1.03283009825066,5.47962966956374
"30",1930,22.3607266666028,3.92546120630911,5.64704171229379,0.133573337136978,0.643953762269097,134,1.02996452410175,5.81625262978543
