"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",22.7586504252528,8.77585837685614,32.5629404322349,2.59332471513811,0.0141281802522524
"tenureband110 - 19",34.1304461694334,11.0052469829108,4460.1478357579,3.10128852377705,0.00193883674148336
"tenureband120 plus",33.3745991744126,45.0557766187184,4337.31073679885,0.740739627170185,0.458891425331814
"periodx1914 - 1918",22.725295047464,16.1454623736968,28.7963129364424,1.40753448377463,0.169972480117023
"periodx1919 - 1930",97.6439746658812,12.6394655396055,32.2447032822699,7.72532464762187,7.87467024251824e-09
"tenure1",6.95511356916063,0.369040772726982,3639.51216279905,18.8464638141923,1.12894401766285e-75
"tenureband110 - 19:periodx1914 - 1918",-31.8874663859482,13.3713474326249,4436.27482799837,-2.38476088865552,0.0171319880331608
"tenureband120 plus:periodx1914 - 1918",16.7550305641721,58.1615937407097,4351.43086360781,0.288077225649416,0.773301345061131
"tenureband110 - 19:periodx1919 - 1930",44.4652764356061,12.1711861394676,4521.77271662142,3.65332317870139,0.000261801805973046
"tenureband120 plus:periodx1919 - 1930",168.184124282074,46.5955627767181,4349.72314182786,3.60944506857868,0.000310307649188481
"tenureband110 - 19:tenure1",-3.59574931136769,0.999516386512323,4479.67174232094,-3.59748910562094,0.000324772721940796
"tenureband120 plus:tenure1",-2.83835966706621,1.92131622733417,4332.42078020463,-1.47729958592212,0.139668034562811
"periodx1914 - 1918:tenure1",0.527756740468547,0.477381117596104,4580.01373680137,1.1055249590225,0.268990254363387
"periodx1919 - 1930:tenure1",10.0089586996566,0.378532165308062,4822.35000974297,26.4415011905554,5.42921743000623e-144
"tenureband110 - 19:periodx1914 - 1918:tenure1",3.18058459258828,1.22614872407312,4466.99525338408,2.59396313851942,0.00951864849255763
"tenureband120 plus:periodx1914 - 1918:tenure1",-0.467558271078893,2.35420346628062,4351.32101922518,-0.198605718569255,0.842580458371322
"tenureband110 - 19:periodx1919 - 1930:tenure1",-5.37747457465429,1.10346428318142,4548.58919670883,-4.87326563860353,1.13502785673517e-06
"tenureband120 plus:periodx1919 - 1930:tenure1",-11.7436700834885,1.97090776110271,4346.61891266693,-5.95850821396026,2.74686094839007e-09
