"","year","int","int.se","slope","slope.se","rsq","n"
"1",1889,53.9608728956786,16.525496184529,3.99563220814887,3.69722965484377,0.0632060548644602,66
"2",1890,52.4553118248918,9.33040555205253,3.76537910472003,2.28900136206896,0.0567247487143489,105
"3",1891,45.6150645199736,9.96355653816772,7.66262443753751,2.43726921188055,0.163781939571062,125
"4",1892,42.2286692079036,13.6736370484298,7.69672980956908,1.89874998551002,0.18013520307859,144
"5",1893,38.8088500128633,13.3030066603724,8.16823250403349,1.35522433191148,0.22253462796856,174
"6",1894,41.8960921192416,18.0821761854331,7.15389225482889,1.30738759961419,0.16862439235548,195
"7",1895,37.0324629498942,19.2465407119265,8.68913196894847,1.16679374985698,0.237279732623103,210
"8",1896,39.3545919238698,20.4440142207439,7.57978235375355,1.00773780732102,0.210366931741916,216
"9",1897,41.1203327420158,12.3961479862214,6.95973178801447,0.600753645625196,0.232607825352202,268
"10",1898,38.486004974407,9.98638240813123,7.15288085171346,0.431464272081016,0.292374132438908,289
"11",1899,37.7339108715483,12.5660896064992,6.99879350069259,0.621627737954341,0.227216158573448,270
"12",1900,44.0521328035765,7.06905529910134,4.49204958641956,0.483086866556089,0.131447109505427,278
"13",1901,40.7575882562023,9.32672971744394,5.0903376831127,0.652405076594937,0.169936101575764,196
"14",1902,37.5197483126648,13.7145651876516,5.95456633360029,0.760564558152684,0.201274965164944,187
"15",1903,30.8391078830129,16.8310318099328,7.44687698514664,0.805740884518061,0.278844404439881,180
"16",1904,28.1855426059584,20.4043939316796,8.04271242169003,0.862234351753243,0.324735152160813,158
"17",1905,28.3925975374574,13.9251238994467,7.53990505859664,0.526046799501462,0.385869030392404,174
"18",1906,43.7242192317986,13.669241943732,6.00123610550095,0.51682368015044,0.2242945908003,243
"19",1907,36.1533432610673,11.1296929944672,7.26399435828281,0.504908985749354,0.29150260386146,256
"20",1908,37.042294958689,10.1412419040576,7.32507723434316,0.540079075097507,0.288514211589473,247
"21",1909,37.3697200307455,9.41907997712823,7.16878627065771,0.494192828281556,0.293766912357717,252
"22",1910,37.3714511548311,7.6815904040063,6.44388823431688,0.496387102035949,0.260069526409427,240
"23",1911,37.6882239235688,11.406755381014,6.69052242933892,0.718581773042111,0.203378881276181,246
"24",1912,36.7294368849458,7.77830099957204,6.25165963678716,0.462766286263958,0.242371400507952,266
"25",1913,35.6046784156152,8.40973448704502,6.72945370110023,0.411593367658208,0.283551258528262,280
"26",1914,27.1326501443035,8.65302142532796,7.884477653292,0.373110621511745,0.391465603165154,261
"27",1915,20.7412327785774,10.9578146618724,7.63596491555445,0.452022272996551,0.417463578919087,182
"28",1916,14.7217738627216,9.89528924877262,7.68217859663973,0.494146778964925,0.503011067296816,120
"29",1917,11.9876275503548,7.30640759332193,7.10853063929292,0.381203874434188,0.635591072801393,78
"30",1918,5.18059051500257,6.37508234330579,8.24353749650406,0.444165573099174,0.757421897324731,51
"31",1919,49.5317576654359,14.1003120045475,2.09507510841199,0.566028471999984,0.0510997734780862,146
"32",1920,33.7533113486165,9.47877537158697,4.87341064652307,0.396797408950988,0.273490095529079,161
"33",1921,26.8074559320432,8.86021970858632,7.76478303462932,0.433824121676174,0.452728881965832,170
"34",1922,29.5641537055621,7.23151581096655,7.76047446936552,0.377103585234453,0.44153235593758,204
"35",1923,26.6676659159303,5.39218512046253,7.92236048307026,0.279367052597092,0.520460660745187,209
"36",1924,27.2702682741405,5.55126465299432,7.34043932303755,0.329197660169443,0.429962770846016,219
"37",1925,27.5519174212414,6.49968439421377,7.14069934760797,0.409368119897004,0.372303914739382,212
"38",1926,30.1912438229031,6.07023298806953,6.63671804693343,0.371736170018666,0.318953893631085,255
"39",1927,27.5570959949767,6.14986237508317,7.41056844252367,0.36913593623008,0.369367859657415,256
"40",1928,26.9838788907248,17.0384798628373,7.82698775698232,0.838127653171955,0.232712708761503,243
"41",1929,24.8051364335239,15.7058923023326,8.08898986856693,0.68698859752328,0.263656228381548,268
"42",1930,22.9675812360943,3.85906660498841,8.26460214205791,0.145625154905223,0.667158547135035,236
